player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
245072,ST,64,72.8,48.3,45.6,30.5,9.4,54.8,0.7,2.5,24.4,ST,72.8
245228,ST,75,64.9,73.9,70.9,51.2,21.8,78.6,18.6,19.7,8.7,CAM,78.6
245268,CB,68,58.2,8.3,12.3,32.9,55.0,19.9,42.0,42.7,76.4,CB,76.4
245537,CDM,78,29.7,24.5,22.3,80.6,76.2,59.5,41.2,38.9,27.5,CM,80.6
245585,LB,66,28.2,39.1,43.3,37.3,48.0,17.2,73.3,72.9,29.3,LB,73.3
245744,RW,74,63.7,77.7,75.8,38.4,18.4,67.8,28.6,32.8,7.8,LW,77.7
245765,ST,63,73.3,43.6,41.9,39.2,17.0,56.8,0.4,2.6,28.8,ST,73.3
245893,CB,73,54.4,2.8,8.6,45.4,63.4,15.6,46.3,46.6,78.1,CB,78.1
246044,ST,64,73.5,47.9,46.2,33.7,13.8,57.5,1.4,3.7,25.7,ST,73.5
246204,RW,70,44.7,76.1,75.8,56.2,30.8,71.6,38.0,38.0,2.0,LW,76.1
246291,CB,77,53.6,14.5,20.8,59.3,77.1,26.6,66.7,66.4,78.8,CB,78.8
246963,ST,74,78.3,58.5,56.0,35.5,14.2,63.3,6.9,9.3,24.2,ST,78.3
247250,CM,74,60.3,26.2,22.2,79.2,79.3,53.0,66.6,64.2,49.2,CDM,79.3
247377,CB,70,55.8,4.7,8.3,52.9,67.5,25.3,51.8,51.8,74.9,CB,74.9
247400,CB,64,56.0,3.0,8.9,40.2,55.8,16.4,41.9,42.3,72.4,CB,72.4
247596,LB,71,39.1,61.6,63.5,56.1,56.9,42.3,76.1,75.9,19.0,LB,76.1
247652,ST,71,75.8,66.6,63.9,48.7,20.6,73.3,8.4,9.5,17.9,ST,75.8
247661,CB,68,57.9,13.0,22.5,52.9,70.5,28.7,56.6,56.6,74.0,CB,74.0
248024,ST,68,73.0,71.4,67.6,34.7,7.6,67.6,7.7,9.3,9.4,ST,73.0
248325,RW,64,33.0,71.2,73.5,41.3,38.7,56.2,58.1,57.5,8.1,RW,73.5
248355,ST,74,76.6,74.8,68.7,49.2,22.4,76.9,18.3,19.6,16.3,CAM,76.9
248395,CB,71,52.5,2.5,9.5,50.2,67.7,21.3,47.2,47.5,76.9,CB,76.9
248732,CB,73,54.7,11.2,16.0,63.5,77.3,34.3,54.4,53.6,73.8,CDM,77.3
248763,CM,74,29.9,54.5,54.4,76.5,75.7,62.0,77.6,76.2,19.1,LB,77.6
