feature,r
positioning,-0.7548704479703309
finishing,-0.6793300168931051
dribbling,-0.6593848829038828
long_shots,-0.6433226798521645
curve,-0.6014370062325942
volleys,-0.5934410732580291
agility,-0.591967743895239
vision,-0.5753707380072083
balance,-0.5297651116960923
crossing,-0.5268128869797716
