player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
435808,CM,73,28.6,68.0,67.2,73.6,73.7,68.2,77.0,76.5,16.1,LB,77.0
435821,LB,69,35.2,49.5,51.5,28.9,44.0,12.6,71.2,74.1,38.3,RB,74.1
436916,RB,72,21.4,34.8,35.0,53.2,57.9,31.9,76.7,77.0,25.3,RB,77.0
437566,CDM,72,72.9,23.7,21.4,73.0,76.7,48.3,56.0,53.4,67.8,CDM,76.7
437573,RB,61,48.4,42.1,47.9,15.0,35.7,23.4,65.8,68.9,41.1,RB,68.9
437842,CDM,69,42.3,48.8,51.6,67.5,70.8,62.2,71.2,74.4,19.9,RB,74.4
438001,CB,77,53.9,5.4,11.4,52.5,72.5,22.9,52.4,50.4,79.5,CB,79.5
438315,CDM,69,29.2,45.9,49.1,75.2,70.4,60.9,71.4,70.4,17.0,CM,75.2
438913,CM,67,50.3,57.5,55.3,74.2,58.0,71.1,48.4,48.2,15.3,CM,74.2
438961,CB,69,55.5,9.5,13.8,45.9,64.3,23.3,46.4,45.8,74.8,CB,74.8
439022,CB,78,51.7,11.0,17.5,56.9,79.4,27.9,57.9,55.7,75.6,CDM,79.4
439292,ST,71,76.3,63.2,60.8,35.6,11.7,65.1,3.6,7.6,21.3,ST,76.3
439343,ST,69,74.0,68.1,66.8,46.8,12.7,72.5,3.8,9.0,9.8,ST,74.0
439456,ST,65,73.6,54.0,53.1,37.4,14.6,60.4,2.1,6.9,24.2,ST,73.6
439497,CB,73,66.0,17.8,20.3,63.4,74.9,35.6,59.8,59.9,76.9,CB,76.9
440371,LB,67,25.2,27.1,28.8,41.9,51.6,22.9,72.5,73.8,19.2,RB,73.8
441098,CB,67,53.6,6.4,13.2,27.1,55.5,10.6,48.4,47.2,73.3,CB,73.3
441120,LW,63,43.2,64.9,65.1,55.8,27.0,69.5,26.8,30.2,0.0,CAM,69.5
441170,RB,74,26.0,44.1,45.8,42.3,55.1,21.5,79.1,79.1,23.8,RB,79.1
441306,CDM,66,58.7,24.0,23.2,74.0,54.9,58.2,38.2,37.9,20.1,CM,74.0
441383,CB,68,57.2,6.4,12.0,27.4,51.0,9.8,45.2,44.5,75.3,CB,75.3
441385,CAM,67,55.2,71.9,70.9,54.0,35.8,71.8,32.8,36.0,8.0,LW,71.9
441422,LW,71,56.7,74.7,74.7,45.6,23.6,68.0,28.6,33.1,3.8,RW,74.7
441986,CB,77,59.7,18.9,22.9,47.9,67.2,25.8,57.2,56.4,80.7,CB,80.7
442248,CB,79,54.1,11.8,15.9,47.0,70.7,21.1,59.3,57.5,82.2,CB,82.2
506213,CB,58,48.7,5.7,10.9,19.5,45.0,5.1,44.0,43.6,68.9,CB,68.9
442552,RB,69,59.5,26.0,31.5,44.1,59.5,15.7,74.2,73.7,69.8,LB,74.2
442703,CDM,70,40.8,15.1,17.0,62.3,74.7,36.8,51.9,51.1,53.9,CDM,74.7
442816,RB,70,31.0,43.2,42.9,40.8,50.8,24.4,73.7,75.1,19.1,RB,75.1
443222,ST,71,76.2,70.2,68.8,41.0,12.5,68.7,3.5,8.5,15.5,ST,76.2
443308,CAM,65,56.1,53.5,50.3,63.8,37.4,72.2,31.0,34.1,10.7,CAM,72.2
443338,ST,70,75.7,55.1,52.9,41.2,12.0,63.3,0.0,3.1,20.0,ST,75.7
