player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
743498,LW,73,59.2,77.2,76.9,45.3,21.7,74.8,32.4,34.2,8.9,LW,77.2
801734,ST,77,74.4,75.1,72.6,44.3,20.1,77.4,24.7,28.1,8.8,CAM,77.4
859951,CB,66,9.9,20.7,24.5,39.7,62.9,23.6,55.6,57.5,76.3,CB,76.3
866246,CM,68,22.5,55.4,58.9,72.6,58.0,70.9,62.2,61.6,14.6,CM,72.6
1011147,LW,64,52.6,74.7,74.0,35.6,13.4,71.3,18.2,20.3,15.1,LW,74.7
95182,CB,62,12.9,21.2,20.5,61.4,72.6,40.6,44.9,44.8,66.1,CDM,72.6
149829,CM,73,11.8,51.0,53.8,77.3,60.8,68.0,57.2,56.0,15.6,CM,77.3
161869,RB,72,9.7,42.0,45.1,70.7,74.8,53.8,74.2,72.8,41.0,CDM,74.8
221873,RB,73,9.4,49.5,53.1,69.2,68.9,57.9,75.3,75.3,33.5,LB,75.3
238185,ST,68,69.7,75.8,73.3,33.2,12.3,73.3,17.6,20.9,11.1,LW,75.8
275249,CM,72,11.9,45.3,48.5,76.3,65.7,62.9,59.5,56.9,24.4,CM,76.3
280387,CM,75,8.1,43.7,46.8,78.3,72.8,60.2,66.1,63.8,30.8,CM,78.3
283227,CB,76,8.2,17.3,20.1,57.9,77.2,31.6,56.4,58.1,66.1,CDM,77.2
385105,LB,73,7.9,46.4,50.3,72.2,73.6,57.7,76.1,74.8,34.9,LB,76.1
393238,RW,75,37.4,74.3,73.7,53.9,36.3,76.3,37.1,38.2,10.8,CAM,76.3
429259,CB,74,8.5,23.2,27.6,54.0,75.3,31.6,64.7,67.1,72.4,CDM,75.3
463617,LW,64,77.3,70.6,69.3,32.3,9.3,66.8,18.5,23.0,18.4,ST,77.3
575693,LW,69,57.2,75.0,74.7,45.0,22.2,74.1,31.1,34.2,11.3,LW,75.0
597659,CB,72,8.5,14.5,17.3,42.7,68.4,20.8,53.3,54.6,79.0,CB,79.0
629585,CDM,67,10.9,15.4,17.1,54.1,75.3,31.2,49.8,50.1,68.3,CDM,75.3
694549,CM,67,10.7,55.8,59.2,74.0,67.8,65.1,74.0,73.2,29.1,CM,74.0
794758,RB,71,10.6,48.2,52.8,59.1,61.6,52.1,74.2,75.2,35.2,RB,75.2
