player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
344474,CM,67,63.8,27.5,18.8,71.5,73.7,49.1,55.1,48.6,67.8,CDM,73.7
349300,LW,71,48.4,75.6,73.2,53.1,28.8,74.3,31.1,27.5,1.2,LW,75.6
434433,ST,75,79.0,56.9,53.8,30.0,13.6,62.3,7.8,4.0,23.7,ST,79.0
542819,ST,70,75.7,63.2,59.0,36.3,16.1,66.1,14.0,9.8,21.9,ST,75.7
617460,CB,67,54.7,3.1,7.9,20.6,46.9,9.1,41.7,40.0,76.2,CB,76.2
55619,RW,75,60.8,78.0,73.2,69.2,46.9,77.8,49.4,48.0,16.1,LW,78.0
96533,ST,73,76.9,62.4,56.0,46.0,20.5,73.6,12.5,11.2,13.6,ST,76.9
199704,CB,75,54.7,4.9,7.8,55.6,66.2,26.7,47.0,44.1,78.4,CB,78.4
217111,RW,80,50.0,78.8,73.9,71.6,44.8,80.9,41.1,37.2,11.3,CAM,80.9
240889,CAM,66,42.5,59.8,56.7,67.2,63.1,71.3,61.5,62.8,10.5,CAM,71.3
245228,ST,75,65.6,75.2,71.6,49.5,22.8,78.0,20.2,16.2,9.0,CAM,78.0
265569,CDM,69,30.7,50.3,41.4,75.9,67.7,57.4,61.8,61.1,19.4,CM,75.9
283127,RB,70,36.5,20.1,17.8,59.8,74.2,19.8,74.0,71.3,52.3,CDM,74.2
286949,CB,72,44.1,21.3,19.4,57.0,69.6,16.9,75.2,76.7,76.5,RB,76.7
287579,CDM,78,30.3,27.8,22.6,74.7,79.8,52.7,56.8,55.1,35.0,CDM,79.8
315332,CAM,71,58.6,65.2,58.2,63.3,42.7,74.6,35.0,32.5,17.3,CAM,74.6
324377,CM,72,29.2,57.6,49.8,77.0,67.3,69.9,63.1,60.6,17.6,CM,77.0
340394,CAM,73,75.1,57.5,46.4,65.9,54.9,74.7,33.5,29.1,19.6,ST,75.1
340456,RB,81,24.5,50.6,44.1,64.8,67.5,48.9,78.1,82.8,26.1,RB,82.8
361914,CB,79,56.8,15.0,18.0,62.2,76.0,32.2,59.1,58.4,80.1,CB,80.1
370042,CDM,65,47.0,17.9,24.1,52.5,72.2,31.5,67.5,63.3,33.9,CDM,72.2
377219,CAM,73,54.6,60.8,50.1,73.4,51.3,77.8,36.1,29.4,20.5,CAM,77.8
393238,RW,75,53.9,77.2,74.9,50.6,29.6,76.4,31.3,24.3,10.5,LW,77.2
398073,RB,84,44.6,80.4,74.1,65.9,68.8,69.8,82.3,83.0,24.6,RB,83.0
416386,CM,73,39.8,60.5,51.0,75.0,76.3,71.1,63.3,60.3,20.0,CDM,76.3
433049,ST,83,83.2,61.5,60.1,40.1,18.4,68.2,12.2,8.3,29.2,ST,83.2
434358,RB,66,19.8,40.7,38.0,52.0,57.4,32.4,72.6,71.7,15.5,LB,72.6
484992,CM,68,33.8,28.3,22.3,70.4,73.6,48.6,58.9,56.4,18.8,CDM,73.6
521127,ST,78,80.1,69.2,63.0,26.2,14.8,63.2,18.0,15.2,19.9,ST,80.1
521407,ST,74,76.5,73.4,68.4,45.6,18.0,73.9,17.8,12.3,22.5,ST,76.5
531065,CDM,70,51.6,20.3,16.4,68.5,74.7,42.5,55.4,54.3,64.0,CDM,74.7
541134,LB,71,17.3,39.5,37.5,47.7,57.5,25.8,75.7,75.0,21.1,LB,75.7
559979,CB,72,50.4,4.0,9.7,40.1,63.5,17.4,52.1,51.0,75.8,CB,75.8
569376,ST,68,72.5,69.7,67.8,36.8,9.3,72.8,8.1,4.3,3.5,CAM,72.8
569389,LW,76,36.2,77.9,72.9,67.4,51.5,76.6,51.9,47.8,8.8,LW,77.9
575594,CB,71,50.2,5.0,9.4,43.7,60.0,18.8,48.4,46.4,76.4,CB,76.4
593482,CM,75,41.2,49.3,44.7,76.4,62.3,68.2,45.1,43.6,17.2,CM,76.4
593774,CDM,65,64.8,10.0,18.5,62.3,70.1,39.3,49.3,48.1,69.0,CDM,70.1
593837,LW,70,47.6,75.1,74.2,38.1,22.7,65.0,35.1,33.6,1.3,LW,75.1
635336,CM,72,34.9,58.0,52.3,76.1,65.1,71.7,52.5,49.8,14.8,CM,76.1
640565,CAM,65,42.2,65.8,62.6,52.4,29.2,72.8,26.8,21.3,9.3,CAM,72.8
654982,CAM,76,36.3,70.5,70.3,66.3,40.8,76.6,38.7,36.0,3.4,CAM,76.6
659520,CM,63,34.8,29.3,28.1,70.3,62.1,57.9,37.3,29.1,13.8,CM,70.3
667967,CM,72,28.7,48.2,44.2,75.6,69.2,63.8,58.6,56.9,14.6,CM,75.6
689637,CB,72,53.6,8.1,15.4,50.9,64.0,25.6,54.8,53.8,75.5,CB,75.5
696027,CAM,61,40.7,65.9,63.9,57.2,40.3,70.1,45.3,42.8,5.2,CAM,70.1
