player_id,natural_pos,OVR,ST_combo,LW_combo,RW_combo,CM_combo,CDM_combo,CAM_combo,LB_combo,RB_combo,CB_combo,best_combo_pos,best_combo_score
405072,RB,56,9.8,24.1,25.3,31.1,42.5,18.6,66.5,67.0,23.4,RB,67.0
406634,CM,79,48.2,64.6,53.7,78.6,60.6,80.6,45.6,42.9,22.9,CAM,80.6
407021,CB,71,51.0,4.3,8.0,42.4,57.6,21.4,47.7,45.6,76.6,CB,76.6
422932,RB,65,36.1,25.9,25.3,23.0,46.1,17.7,70.6,65.0,26.7,LB,70.6
422950,CM,71,44.8,35.4,22.0,75.6,71.5,53.5,58.6,51.3,43.4,CM,75.6
422951,CB,78,44.0,13.9,17.2,56.8,78.8,28.5,66.1,65.5,73.0,CDM,78.8
432982,RW,78,63.6,81.0,76.8,49.6,19.9,76.4,25.8,20.5,12.4,LW,81.0
448471,CB,66,58.7,12.3,9.9,41.3,49.4,32.3,37.4,34.7,74.5,CB,74.5
452607,RB,79,35.3,54.7,49.0,49.7,64.8,37.3,80.1,80.7,25.1,RB,80.7
461496,CDM,80,26.1,30.4,22.5,76.6,80.2,47.1,55.7,52.7,34.9,CDM,80.2
462823,RW,76,50.7,78.5,75.8,49.2,25.1,72.5,31.4,26.4,7.6,LW,78.5
462837,LB,68,33.3,64.6,60.8,57.9,56.8,58.6,73.0,70.6,16.4,LB,73.0
462838,RB,70,26.1,63.9,63.1,53.7,55.6,52.2,74.6,74.2,13.9,LB,74.6
464597,CB,62,53.0,10.4,22.5,40.0,49.5,25.6,48.7,45.3,71.3,CB,71.3
464598,ST,72,73.0,75.6,71.8,36.0,12.0,72.0,16.7,10.2,15.3,LW,75.6
464599,CM,72,45.8,34.7,21.6,76.9,68.7,61.1,47.3,43.0,41.6,CM,76.9
467236,RB,67,37.7,43.5,41.5,21.2,41.3,16.4,71.7,68.1,35.4,LB,71.7
482106,RB,64,26.8,32.4,28.5,41.9,42.5,16.0,70.6,66.1,21.4,LB,70.6
482107,LW,65,53.8,70.5,69.7,34.1,13.6,66.6,21.3,16.3,6.8,LW,70.5
488785,LB,71,31.4,71.3,65.1,63.2,66.6,60.8,75.8,75.7,17.4,LB,75.8
495488,CDM,61,32.6,10.5,12.0,52.5,67.7,30.6,43.9,35.3,52.2,CDM,67.7
503865,RB,65,52.3,69.5,65.2,58.3,57.0,71.3,65.7,56.1,16.7,CAM,71.3
503871,CM,76,21.8,20.7,22.2,67.6,78.9,45.3,57.9,57.6,26.6,CDM,78.9
511534,LB,70,43.6,57.3,55.3,50.8,55.2,50.8,74.4,74.6,18.3,RB,74.6
514888,CM,73,45.1,34.9,22.8,76.1,75.8,60.3,50.6,46.5,22.9,CM,76.1
514894,LW,62,39.8,64.5,57.5,67.3,57.1,62.9,68.9,64.8,13.7,LB,68.9
514895,ST,67,72.5,63.2,61.2,37.9,15.4,68.6,13.0,8.1,18.6,ST,72.5
515017,CDM,71,17.5,42.9,41.6,71.0,75.1,53.4,68.0,64.4,20.2,CDM,75.1
524081,CAM,74,65.4,76.5,72.8,51.0,19.6,77.1,20.8,17.3,11.5,CAM,77.1
525919,ST,67,75.0,57.8,56.7,33.4,10.4,63.2,8.0,3.4,27.8,ST,75.0
531927,CM,64,27.4,53.2,51.6,69.5,55.7,67.9,48.0,45.0,8.1,CM,69.5
541601,CAM,65,70.9,66.9,64.1,43.1,10.9,72.1,9.5,3.7,12.0,CAM,72.1
542525,LW,67,62.2,71.9,69.4,45.4,16.3,72.9,17.5,13.2,7.0,CAM,72.9
542684,RW,65,39.9,70.7,66.0,59.4,43.1,71.4,47.1,43.7,8.5,CAM,71.4
542690,CB,67,48.1,5.2,8.5,35.6,53.3,16.2,47.8,46.9,75.0,CB,75.0
542697,RB,69,16.6,47.8,42.8,56.2,57.8,39.5,74.3,72.3,25.1,LB,74.3
542762,CM,68,27.3,52.7,48.8,72.8,73.3,61.0,67.9,65.2,15.1,CDM,73.3
542842,CM,66,57.9,18.9,18.3,71.8,56.0,61.4,27.0,20.4,29.4,CM,71.8
543311,ST,66,73.1,46.3,47.0,39.0,19.0,60.3,4.3,0.0,38.2,ST,73.1
545331,CB,66,48.8,5.9,9.1,48.3,62.0,22.1,51.0,48.8,73.2,CB,73.2
545332,ST,70,74.6,66.1,64.3,30.5,8.4,64.7,9.0,3.6,21.1,ST,74.6
553328,CM,68,40.3,64.3,53.5,73.7,61.9,71.5,58.0,52.8,19.5,CM,73.7
564529,LB,75,19.7,43.3,38.8,50.7,63.1,34.2,78.3,78.2,29.7,LB,78.3
565821,ST,68,73.9,63.5,61.5,31.8,12.7,65.7,11.5,6.7,20.4,ST,73.9
566571,LB,67,17.3,57.3,55.6,31.8,38.5,33.9,72.8,70.8,20.8,LB,72.8
569349,CB,64,47.4,7.2,13.0,53.1,60.0,26.3,49.4,46.6,71.6,CB,71.6
569632,RW,67,61.9,72.5,69.2,38.9,19.8,71.7,20.3,13.0,10.6,LW,72.5
572051,CDM,53,55.7,7.4,9.8,51.7,58.3,31.3,45.3,38.3,64.3,CB,64.3
