feature,r
def_awareness,-0.5541300828021248
def,-0.5536252210377365
standing_tackle,-0.5536252210377365
interceptions,-0.5530268890501497
sliding_tackle,-0.550436148198302
heading_accuracy,-0.5503412941763483
sho,0.386198076079743
shot_power,0.38319354440579734
finishing,0.3831082334688056
penalties,0.38295140776418113
